id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
jMH2YrBUS9k3KUdVjHH7mg==,Belgrano,3,2,105,96,220000,Departamento,220
s+XTFFuAjfD6gcYfa+4wpA==,Belgrano,3,1,81,79,225000,Departamento,225
ZCP2w/4bnLQ3DIHyp8tXNg==,Belgrano,3,1,89,80,200000,Departamento,200
AFSru3XXHmxfTfde4NXTQA==,Balvanera,3,2,68,68,128000,Departamento,128
knSbE7mthPmvRBgeCQwBZg==,Caballito,3,1,102,102,258000,Departamento,258
6MB0Uk9ddeqO7zuo3zkL5A==,Caballito,3,1,52,50,105000,Departamento,105
wANoWHh1ZV8GCmHckXPkEg==,Caballito,3,1,58,58,159000,Departamento,159
wsNto6rivMk4KY4woq1O4w==,Colegiales,3,1,59,59,144000,Departamento,144
CgXBRaGQKCNLLi0G0WLuIQ==,Villa Luro,3,1,68,68,160000,Departamento,160
jq5W1e52ScpVJQqdPzsrDQ==,Villa Crespo,3,1,69,64,140000,Departamento,140
ArAZV9O9TIPkf+zfbGHsJw==,San Cristobal,3,1,85,72,121700,Departamento,122
fF4UJRHO9yV0vuUu5DWH4g==,Palermo,4,2,71,68,199000,Departamento,199
C6x/VuBZh34YkrW7y/1tBg==,Palermo,4,3,300,280,680000,Departamento,680
X2qC7yf1fuTOZLG0uUsxtw==,Palermo,4,2,88,83,320000,Departamento,320
lSHvHkBTImL5ZWoIzkz+JQ==,Palermo,4,1,157,147,295000,Departamento,295
BCf92/Zi5OWbVJyhuLGWVQ==,Belgrano,4,2,110,100,394000,Departamento,394
eu8YqUJtv8BPXw+I+WJWhg==,Belgrano,4,1,84,80,250000,Departamento,250
5T1+1ACAvK57BVjcJ/5nlg==,Belgrano,4,2,110,100,395000,Departamento,395
oI35IzLGR+jZj9gpVLlldQ==,Balvanera,4,1,87,80,94000,Departamento,94
4vwPORsMvq6dMsDfgXCxKw==,Caballito,4,1,84,78,145000,Departamento,145
hmy2M2I+pyd7XtyecZeyxQ==,Caballito,4,1,73,73,139000,Departamento,139
